Age;Effectif
0;757311
1;758416
2;770294
3;774689
4;796625
5;791930
6;796693
7;792248
8;806836
9;790706
10;786669
11;783549
12;788003
13;799334
14;816790
15;781399
16;782256
17;770568
18;774690
19;755332
20;722009
21;706468
22;737257
23;744001
24;759185
25;759821
26;766751
27;766944
28;779180
29;776676
30;774532
31;764151
32;816329
33;824177
34;836259
35;792416
36;778110
37;786793
38;768149
39;790835
40;837586
41;885213
42;905750
43;899720
44;883167
45;868607
46;862047
47;857803
48;878284
49;880412
50;891418
51;880555
52;851324
53;850844
54;846210
55;841260
56;820890
57;819685
58;812353
59;802995
60;801768
61;783010
62;795818
63;775181
64;806107
65;789104
66;786636
67;766115
68;727167
69;545036
70;531696
71;514770
72;473526
73;421260
74;437242
75;454887
76;444877
77;430930
78;425280
79;410307
80;406562
81;379836
82;379315
83;352610
84;336267
85;296821
86;270602
87;242772
88;217910
89;192328
90;162902
91;137868
92;116746
93;95895
94;77400
95;35487
96;23481
97;15745
98;10444
99;8517
100;9378
101;5651
102;3583
103;2305
104;1497
